"MEDV";"CHAS";"variable";"value";"density"
24;"0";"LSTAT";4,98;0,00206738506957015
21,6;"0";"LSTAT";9,14;0,0023137934150272
34,7;"0";"LSTAT";4,03;0,00044869156360131
33,4;"0";"LSTAT";2,94;0,000489764567598628
28,7;"0";"LSTAT";5,21;0,000729465712981016
27,1;"0";"LSTAT";19,15;0,000273513889051
16,5;"0";"LSTAT";29,93;0,000161012104721126
15;"0";"LSTAT";20,45;0,000542635542059066
18,9;"0";"LSTAT";13,27;0,00180887193643847
21,7;"0";"LSTAT";15,71;0,00107535801275655
20,4;"0";"LSTAT";8,26;0,00224670582529681
19,9;"0";"LSTAT";8,47;0,00214974349579406
23,1;"0";"LSTAT";6,58;0,00228135275415539
17,5;"0";"LSTAT";14,67;0,000673094856429483
20,2;"0";"LSTAT";11,69;0,00224670582529681
18,2;"0";"LSTAT";11,28;0,00160512954337927
13,6;"0";"LSTAT";21,02;0,000499665917502476
19,6;"0";"LSTAT";13,83;0,00214974349579406
15,2;"0";"LSTAT";18,72;0,000542635542059066
14,5;"0";"LSTAT";19,88;0,000544823358532196
15,6;"0";"LSTAT";16,3;0,000543381855498535
13,9;"0";"LSTAT";16,51;0,00053031897850133
16,6;"0";"LSTAT";14,81;0,000581322794594397
14,8;"0";"LSTAT";17,28;0,000546257387588109
18,4;"0";"LSTAT";12,8;0,00160512954337927
21;"0";"LSTAT";11,98;0,00230948155308625
12,7;"0";"LSTAT";22,6;0,00057792394521337
14,5;"0";"LSTAT";13,04;0,000973043340503366
13,2;"0";"LSTAT";27,71;0,000687250117029818
13,1;"0";"LSTAT";18,35;0,000455658145792062
13,5;"0";"LSTAT";20,34;0,000499665917502476
21;"0";"LSTAT";8,77;0,00230948155308625
24,7;"0";"LSTAT";10,13;0,00175734806581213
30,8;"0";"LSTAT";4,32;0,000592637468253443
34,9;"0";"LSTAT";1,98;0,00044869156360131
26,6;"0";"LSTAT";4,84;0,000746730232693709
25,3;"0";"LSTAT";5,81;0,00133657568409857
21,2;"0";"LSTAT";9,55;0,00230948155308625
19,3;"0";"LSTAT";10,21;0,00199915345046249
20;"0";"LSTAT";14,15;0,00224670582529681
14,4;"0";"LSTAT";30,81;0,000209907870643798
19,4;"0";"LSTAT";16,2;0,000986612150693112
19,7;"0";"LSTAT";13,45;0,00214974349579406
25;"0";"LSTAT";5,28;0,00133657568409857
18,9;"0";"LSTAT";14,8;0,000904208452344374
35,4;"0";"LSTAT";4,81;0,00043583861312537
24,7;"0";"LSTAT";5,77;0,00161306662991766
31,6;"0";"LSTAT";3,95;0,000528287087854167
23,3;"0";"LSTAT";6,86;0,0022030365204223
19,6;"0";"LSTAT";9,22;0,00214974349579406
18,7;"0";"LSTAT";13,15;0,00180887193643847
16;"0";"LSTAT";14,44;0,000555410414983514
22,2;"0";"LSTAT";6,73;0,00234339670442451
25;"0";"LSTAT";9,5;0,00147188411849444
33;"0";"LSTAT";8,05;0,000510422603826513
23,5;"0";"LSTAT";4,67;0,0022030365204223
19,4;"0";"LSTAT";10,24;0,00199915345046249
22;"0";"LSTAT";8,1;0,00232016700858237
17,4;"0";"LSTAT";13,09;0,00125499550099752
20,9;"0";"LSTAT";8,79;0,00229404389210671
24,2;"0";"LSTAT";6,72;0,00186695822811135
21,7;"0";"LSTAT";9,88;0,0023137934150272
22,8;"0";"LSTAT";5,52;0,00228135275415539
21,4;"0";"LSTAT";8,94;0,0023137934150272
20;"0";"LSTAT";11,97;0,00224670582529681
20,8;"0";"LSTAT";10,27;0,00229404389210671
21,2;"0";"LSTAT";12,34;0,00230948155308625
28;"0";"LSTAT";5,29;0,000691477693601875
23,9;"0";"LSTAT";7,22;0,00218011641360152
24,8;"0";"LSTAT";6,72;0,00161306662991766
22,9;"0";"LSTAT";7,51;0,00232332401846452
23,9;"0";"LSTAT";9,62;0,00218011641360152
26,6;"0";"LSTAT";6,53;0,000746730232693709
22,5;"0";"LSTAT";12,86;0,00232814386742467
23,6;"0";"LSTAT";5,5;0,0022030365204223
28,7;"0";"LSTAT";5,7;0,000729465712981016
22,6;"0";"LSTAT";8,81;0,00232814386742467
22;"0";"LSTAT";8,2;0,00232016700858237
25;"0";"LSTAT";6,21;0,00133657568409857
20,6;"0";"LSTAT";10,59;0,00229404389210671
28,4;"0";"LSTAT";6,65;0,000715516599903358
21,4;"0";"LSTAT";11,34;0,0023137934150272
38,7;"0";"LSTAT";4,21;0,000165849311199993
43,8;"0";"LSTAT";3,57;0,000212169750684547
33,2;"0";"LSTAT";6,19;0,000489764567598628
27,5;"0";"LSTAT";9,42;0,000696098426112171
26,5;"0";"LSTAT";7,67;0,000804315606216073
18,6;"0";"LSTAT";10,63;0,00160512954337927
20,1;"0";"LSTAT";12,33;0,00224670582529681
19,5;"0";"LSTAT";16,47;0,000986612150693112
19,5;"0";"LSTAT";18,66;0,000986612150693112
20,4;"0";"LSTAT";14,09;0,00224670582529681
19,8;"0";"LSTAT";12,27;0,00214974349579406
19,4;"0";"LSTAT";15,55;0,000986612150693112
21,7;"0";"LSTAT";13;0,0023137934150272
22,8;"0";"LSTAT";10,16;0,00232332401846452
18,8;"0";"LSTAT";16,21;0,000904208452344374
18,7;"0";"LSTAT";17,09;0,000904208452344374
18,5;"0";"LSTAT";10,45;0,00160512954337927
19,2;"0";"LSTAT";10,3;0,00199915345046249
22;"0";"LSTAT";14,37;0,0010512469316985
20,3;"0";"LSTAT";14,27;0,00224670582529681
20,5;"0";"LSTAT";17,93;0,00110294471965403
18,8;"0";"LSTAT";17,58;0,000904208452344374
21,4;"0";"LSTAT";14,81;0,00107535801275655
16,2;"0";"LSTAT";17,19;0,000555410414983514
18;"0";"LSTAT";15,39;0,000739000439745467
14,3;"0";"LSTAT";18,34;0,000544823358532196
19,2;"0";"LSTAT";12,6;0,00199915345046249
19,6;"0";"LSTAT";12,26;0,00214974349579406
23;"0";"LSTAT";11,12;0,00232332401846452
15,6;"0";"LSTAT";17,31;0,000543381855498535
18,1;"0";"LSTAT";16,96;0,000739000439745467
17,4;"0";"LSTAT";16,9;0,000673094856429483
17,1;"0";"LSTAT";14,59;0,00062072550986864
17,8;"0";"LSTAT";18,46;0,000739000439745467
14;"0";"LSTAT";24,16;0,000712538796266046
14,4;"0";"LSTAT";34,41;0,000209907870643798
13,4;"1";"LSTAT";26,82;0,000687250117029818
15,6;"0";"LSTAT";26,42;0,000601072695418877
11,8;"0";"LSTAT";29,29;0,000157302085080704
13,8;"0";"LSTAT";27,8;0,000712538796266046
15,4;"0";"LSTAT";21,45;0,000542635542059066
19,6;"0";"LSTAT";13,28;0,00214974349579406
19,4;"0";"LSTAT";15,79;0,000986612150693112
17;"1";"LSTAT";15,12;0,00062072550986864
13,1;"0";"LSTAT";16,14;0,000455658145792062
24,3;"0";"LSTAT";6,43;0,00186695822811135
23,3;"0";"LSTAT";7,39;0,00228208425644972
27;"1";"LSTAT";5,5;0,000685460484031357
50;"0";"LSTAT";1,73;0,000387386700062686
50;"1";"LSTAT";1,92;0,000387386700062686
22,7;"0";"LSTAT";11,64;0,00232814386742467
25;"0";"LSTAT";9,81;0,00147188411849444
50;"0";"LSTAT";3,7;0,000387386700062686
23,8;"0";"LSTAT";11,1;0,00218011641360152
22,3;"0";"LSTAT";11,32;0,00232814386742467
17,4;"0";"LSTAT";14,43;0,000673094856429483
19,1;"0";"LSTAT";12,03;0,00199915345046249
23,1;"0";"LSTAT";14,69;0,000994088083108754
22,6;"0";"LSTAT";9,64;0,00232814386742467
29,4;"0";"LSTAT";5,33;0,000722002809459885
23,2;"0";"LSTAT";10,11;0,00228208425644972
29,9;"0";"LSTAT";6,92;0,000690699897490644
37,2;"0";"LSTAT";5,04;0,000322772513865282
39,8;"0";"LSTAT";7,56;8,95478561607188e-05
36,2;"0";"LSTAT";9,45;0,000392958792193496
37,9;"0";"LSTAT";4,82;0,000241556427007494
26,4;"0";"LSTAT";13,98;0,000804315606216073
29,6;"0";"LSTAT";13,15;0,000705255712938407
32;"0";"LSTAT";6,68;0,000517180553198922
29,8;"0";"LSTAT";4,56;0,000690699897490644
34,9;"0";"LSTAT";5,39;0,00044869156360131
37;"0";"LSTAT";5,1;0,000322772513865282
29,1;"0";"LSTAT";4,38;0,000722002809459885
50;"0";"LSTAT";2,97;0,000387386700062686
30,3;"0";"LSTAT";8,61;0,00066178361696012
34,6;"0";"LSTAT";6,62;0,00044869156360131
34,9;"0";"LSTAT";4,56;0,00044869156360131
32,9;"0";"LSTAT";4,45;0,000502767384680744
24,1;"0";"LSTAT";7,43;0,0020032430546997
42,3;"0";"LSTAT";3,11;0,000167896455333078
48,5;"0";"LSTAT";3,81;0,000156175410851751
50;"0";"LSTAT";2,88;0,000387386700062686
24,4;"1";"LSTAT";14,66;0,000805603321588215
20;"1";"LSTAT";23,09;0,000827752717795864
19,3;"1";"LSTAT";23,98;0,000776840924117824
22,4;"1";"LSTAT";16,03;0,00102498140886801
28,1;"0";"LSTAT";9,38;0,000704368628698158
23,7;"0";"LSTAT";29,55;0,000182836152363085
23,3;"1";"LSTAT";13,51;0,00228208425644972
28,7;"0";"LSTAT";9,69;0,000737805280478341
21,5;"1";"LSTAT";17,92;0,00107535801275655
26,7;"1";"LSTAT";9,71;0,000804315606216073
21,7;"1";"LSTAT";21,46;0,00107535801275655
27,5;"1";"LSTAT";9,93;0,000696098426112171
30,1;"0";"LSTAT";7,6;0,00066178361696012
44,8;"0";"LSTAT";4,14;0,000186302014913288
50;"0";"LSTAT";4,63;0,000387386700062686
31,6;"0";"LSTAT";6,36;0,000528287087854167
24,3;"0";"LSTAT";11,65;0,0020032430546997
31,7;"0";"LSTAT";5,25;0,000528287087854167
41,7;"0";"LSTAT";2,47;0,000115332078859705
29;"1";"LSTAT";8,05;0,000737805280478341
24;"0";"LSTAT";10,88;0,00218011641360152
31,5;"0";"LSTAT";4,73;0,000528287087854167
23,3;"0";"LSTAT";7,37;0,00228208425644972
22,2;"0";"LSTAT";11,22;0,00232016700858237
23,7;"0";"LSTAT";5,19;0,00206738506957015
17,6;"0";"LSTAT";12,5;0,00125499550099752
24,3;"0";"LSTAT";9,16;0,0020032430546997
20,5;"0";"LSTAT";10,15;0,00229404389210671
24,5;"0";"LSTAT";9,52;0,0020032430546997
26,2;"0";"LSTAT";6,56;0,000876531523501413
24,4;"0";"LSTAT";5,9;0,00186695822811135
24,8;"0";"LSTAT";3,59;0,00161306662991766
29,6;"0";"LSTAT";3,53;0,000690699897490644
42,8;"0";"LSTAT";3,54;0,000192361465237091
20,9;"0";"LSTAT";9,25;0,00229404389210671
44;"0";"LSTAT";3,11;0,000212169750684547
50;"0";"LSTAT";5,12;0,000387386700062686
36;"0";"LSTAT";7,79;0,000392958792193496
30,1;"0";"LSTAT";6,9;0,0006430103452684
33,8;"0";"LSTAT";9,59;0,000474740422298109
43,1;"0";"LSTAT";7,26;0,000197742609768098
31;"0";"LSTAT";11,25;0,000576085130832607
36,5;"0";"LSTAT";8,1;0,000355653084348343
22,8;"0";"LSTAT";10,45;0,00232332401846452
50;"0";"LSTAT";7,44;0,000355928538260529
43,5;"0";"LSTAT";3,16;0,000208190658872364
20,7;"1";"LSTAT";13,65;0,00229404389210671
21,1;"0";"LSTAT";13;0,00230948155308625
24,4;"0";"LSTAT";7,73;0,0020032430546997
35,2;"1";"LSTAT";6,58;0,00043583861312537
32,4;"1";"LSTAT";3,53;0,000511103776367184
32;"0";"LSTAT";2,98;0,000517180553198922
33,2;"1";"LSTAT";6,05;0,000489764567598628
29,1;"0";"LSTAT";7,19;0,000732641744200243
35,1;"0";"LSTAT";4,85;0,00043583861312537
45,4;"0";"LSTAT";3,76;0,00016237865621055
46;"1";"LSTAT";3,01;0,000109470973767098
50;"1";"LSTAT";3,16;0,000387386700062686
32,2;"0";"LSTAT";7,85;0,000536381135781927
22;"0";"LSTAT";8,23;0,00232016700858237
23,2;"0";"LSTAT";7,14;0,0022030365204223
24,8;"0";"LSTAT";9,51;0,00175734806581213
28,5;"0";"LSTAT";3,33;0,000715516599903358
37,3;"0";"LSTAT";3,56;0,000282619398147468
23,9;"0";"LSTAT";8,58;0,00218011641360152
28,6;"0";"LSTAT";6,27;0,000715516599903358
27,1;"0";"LSTAT";7,39;0,000721633146360058
22,5;"0";"LSTAT";4,97;0,00232119214507619
29;"0";"LSTAT";4,74;0,000729465712981016
24,8;"0";"LSTAT";6,07;0,00161306662991766
36,1;"0";"LSTAT";6,93;0,000392364899822086
33,4;"0";"LSTAT";6,47;0,000489764567598628
28,2;"0";"LSTAT";7,53;0,00072431347032143
22,8;"0";"LSTAT";4,54;0,00228135275415539
20,3;"0";"LSTAT";9,97;0,00224670582529681
16,1;"0";"LSTAT";12,64;0,000999116829867029
22,1;"0";"LSTAT";5,98;0,00234339670442451
19,4;"0";"LSTAT";11,72;0,00199915345046249
21,6;"0";"LSTAT";7,9;0,0023137934150272
23,8;"0";"LSTAT";9,28;0,00218011641360152
16,2;"0";"LSTAT";11,5;0,000999116829867029
19,8;"0";"LSTAT";15,94;0,00105173752565939
23,1;"0";"LSTAT";10,36;0,00232332401846452
21;"0";"LSTAT";12,73;0,00230948155308625
23,8;"0";"LSTAT";7,2;0,00218011641360152
23,1;"0";"LSTAT";6,87;0,00228135275415539
20,4;"0";"LSTAT";7,7;0,00224670582529681
18,5;"0";"LSTAT";11,74;0,00160512954337927
25;"0";"LSTAT";6,12;0,00133657568409857
24,6;"0";"LSTAT";5,08;0,00161306662991766
23;"0";"LSTAT";6,15;0,00228135275415539
22,2;"0";"LSTAT";12,79;0,00232016700858237
19,3;"0";"LSTAT";9,97;0,00199915345046249
22,6;"0";"LSTAT";7,34;0,00232814386742467
17,1;"0";"LSTAT";12,43;0,00113291198006466
22,2;"0";"LSTAT";5,68;0,00234339670442451
20,7;"0";"LSTAT";6,75;0,00238025634173248
21,1;"0";"LSTAT";8,01;0,00230948155308625
19,5;"0";"LSTAT";9,8;0,00199915345046249
18,5;"0";"LSTAT";10,56;0,00160512954337927
20,6;"0";"LSTAT";8,51;0,00229404389210671
19;"0";"LSTAT";9,74;0,00180887193643847
18,7;"0";"LSTAT";9,29;0,00180887193643847
32,7;"0";"LSTAT";5,49;0,000511103776367184
16,5;"0";"LSTAT";8,65;0,00104845321941507
23,9;"0";"LSTAT";7,18;0,00206738506957015
17,5;"0";"LSTAT";10,53;0,00125499550099752
17,2;"0";"LSTAT";12,67;0,00113291198006466
23,1;"0";"LSTAT";6,36;0,00228135275415539
24,5;"0";"LSTAT";5,99;0,00186695822811135
24,1;"0";"LSTAT";5,49;0,00186695822811135
18,6;"0";"LSTAT";7,79;0,00160512954337927
30,1;"0";"LSTAT";4,5;0,0006430103452684
18,2;"0";"LSTAT";8,05;0,00160512954337927
17,8;"1";"LSTAT";17,6;0,000739000439745467
21,7;"1";"LSTAT";13,27;0,0023137934150272
22,7;"1";"LSTAT";11,48;0,00232814386742467
25;"0";"LSTAT";7,79;0,00147188411849444
19,9;"0";"LSTAT";14,19;0,00214974349579406
20,8;"0";"LSTAT";10,19;0,00229404389210671
16,8;"1";"LSTAT";14,64;0,000581322794594397
21,9;"1";"LSTAT";5,29;0,00234339670442451
27,5;"0";"LSTAT";7,12;0,000674513380254569
21,9;"0";"LSTAT";14;0,00232016700858237
50;"1";"LSTAT";2,96;0,000387386700062686
50;"0";"LSTAT";9,53;0,000355928538260529
50;"1";"LSTAT";8,88;0,000355928538260529
13,8;"0";"LSTAT";34,77;0,000214319241741362
13,8;"0";"LSTAT";37,97;3,13522653236343e-05
13,3;"0";"LSTAT";21,24;0,000499665917502476
13,1;"0";"LSTAT";23,69;0,000638533516641774
10,2;"0";"LSTAT";21,78;0,000373579521971921
10,4;"0";"LSTAT";17,21;0,000230450620352412
10,9;"0";"LSTAT";21,08;0,000246369256412097
11,3;"0";"LSTAT";23,6;0,000422044279459929
8,8;"0";"LSTAT";30,63;0,00016222194415317
7,2;"0";"LSTAT";30,81;0,000127552761574986
10,5;"0";"LSTAT";28,28;0,000391628803733456
7,4;"0";"LSTAT";31,99;0,000145840922679124
11,5;"0";"LSTAT";20,85;0,000309477586404871
15,1;"0";"LSTAT";17,11;0,000542635542059066
23,2;"0";"LSTAT";18,76;0,000952100281397456
9,7;"0";"LSTAT";25,68;0,000367120576257216
13,1;"0";"LSTAT";17,12;0,000455658145792062
12,5;"0";"LSTAT";19,37;0,000404908226444641
8,5;"0";"LSTAT";19,92;0,000209732969820772
5;"0";"LSTAT";30,59;5,22073212161021e-05
6,3;"0";"LSTAT";29,97;8,6806646142852e-05
5,6;"0";"LSTAT";26,77;0,000126249018765286
12,1;"0";"LSTAT";20,31;0,000354467697120309
8,3;"0";"LSTAT";19,77;0,000209732969820772
8,5;"0";"LSTAT";27,38;0,000357271385038986
5;"0";"LSTAT";22,98;9,69689541903681e-05
17,2;"0";"LSTAT";26,4;0,000574812474980015
15;"0";"LSTAT";10,11;0,000980399980432545
17,2;"0";"LSTAT";21,22;0,00062072550986864
17,9;"0";"LSTAT";34,37;0,000167812027704511
16,3;"0";"LSTAT";20,08;0,000555410414983514
7;"0";"LSTAT";36,98;3,2038905604604e-05
7,2;"0";"LSTAT";29,05;0,000127552761574986
7,5;"0";"LSTAT";25,79;0,000293363623934897
10,4;"0";"LSTAT";26,64;0,000373579521971921
8,8;"0";"LSTAT";20,62;0,000219310952259418
8,4;"0";"LSTAT";22,74;0,000357271385038986
16,7;"0";"LSTAT";15,02;0,000581322794594397
14,2;"0";"LSTAT";15,7;0,000544823358532196
20,8;"0";"LSTAT";14,1;0,00229404389210671
11,7;"0";"LSTAT";17,16;0,000309477586404871
8,3;"0";"LSTAT";24,39;0,000357271385038986
11;"0";"LSTAT";21,52;0,00027290029368152
14,1;"0";"LSTAT";19,69;0,000544823358532196
16,1;"0";"LSTAT";12,03;0,000999116829867029
14,3;"0";"LSTAT";16,22;0,000544823358532196
11,7;"0";"LSTAT";15,17;0,000309477586404871
13,4;"0";"LSTAT";23,27;0,000687250117029818
9,6;"0";"LSTAT";18,05;0,000223759696155003
8,7;"0";"LSTAT";26,45;0,00036753823432136
8,4;"0";"LSTAT";34,02;0,000163932673811333
12,8;"0";"LSTAT";22,88;0,000638533516641774
15,4;"0";"LSTAT";18,85;0,000542635542059066
10,8;"0";"LSTAT";23,79;0,000391628803733456
11,8;"0";"LSTAT";23,98;0,000464247630711458
14,9;"0";"LSTAT";17,79;0,000546257387588109
12,6;"0";"LSTAT";16,44;0,000404908226444641
14,1;"0";"LSTAT";18,13;0,000544823358532196
13;"0";"LSTAT";19,31;0,000455658145792062
16,1;"0";"LSTAT";17,27;0,000555410414983514
14,9;"0";"LSTAT";18,71;0,000546257387588109
14,1;"0";"LSTAT";18,13;0,000544823358532196
12,7;"0";"LSTAT";19,01;0,000404908226444641
13,5;"0";"LSTAT";16,94;0,000499665917502476
20;"0";"LSTAT";14,7;0,00109070975006158
17,7;"0";"LSTAT";14,65;0,000673094856429483
19,5;"0";"LSTAT";13,99;0,00199915345046249
20,2;"0";"LSTAT";10,29;0,00224670582529681
21,4;"0";"LSTAT";13,22;0,0023137934150272
19,1;"0";"LSTAT";21,32;0,000986612150693112
19,1;"0";"LSTAT";18,13;0,000986612150693112
20,1;"0";"LSTAT";14,76;0,00109070975006158
19,9;"0";"LSTAT";16,29;0,00105173752565939
19,6;"0";"LSTAT";12,87;0,00214974349579406
23,2;"0";"LSTAT";14,36;0,00228208425644972
13,8;"0";"LSTAT";18,14;0,00053031897850133
13,3;"0";"LSTAT";24,1;0,000687250117029818
16,7;"0";"LSTAT";18,68;0,000581322794594397
12;"0";"LSTAT";24,91;0,000517258262082628
14,6;"0";"LSTAT";18,03;0,000546257387588109
23;"0";"LSTAT";10,74;0,00232332401846452
23,7;"0";"LSTAT";7,74;0,00218011641360152
21,8;"0";"LSTAT";10,42;0,0023137934150272
20,6;"0";"LSTAT";13,34;0,00229404389210671
21,2;"0";"LSTAT";10,58;0,00230948155308625
19,1;"0";"LSTAT";14,98;0,000986612150693112
20,6;"0";"LSTAT";11,45;0,00229404389210671
15,2;"0";"LSTAT";18,06;0,000542635542059066
7;"0";"LSTAT";23,97;0,000247318155140528
8,1;"0";"LSTAT";29,68;0,000158626678867517
13,6;"0";"LSTAT";18,07;0,000499665917502476
20,1;"0";"LSTAT";13,35;0,00224670582529681
21,8;"0";"LSTAT";12,01;0,0023137934150272
24,5;"0";"LSTAT";13,59;0,0020032430546997
23,1;"0";"LSTAT";17,6;0,000994088083108754
19,7;"0";"LSTAT";21,14;0,00105173752565939
18,3;"0";"LSTAT";14,1;0,00160512954337927
21,2;"0";"LSTAT";12,92;0,00230948155308625
17,5;"0";"LSTAT";15,1;0,000673094856429483
16,8;"0";"LSTAT";14,33;0,00104845321941507
20,6;"0";"LSTAT";9,08;0,00229404389210671
23,9;"0";"LSTAT";5,64;0,00206738506957015
22;"0";"LSTAT";6,48;0,00234339670442451
